"technique_name","principle","expected_result","tutorial","mitre_references","judo_references","karate_references","jujitsu_references","status"
"Port Mirror Discovery","mikiri","Identify exposed services even when the visible entry point has been redirected or mirrored.","1. Ask uke for the target IP address. 2. Run nmap against the target. 3. Compare discovered ports with expected defaults. 4. Test the unusual port with the appropriate client. 5. Confirm whether the service is mirrored or redirected.","ATT&CK T1046 Network Service Discovery; D3FEND D3-CAA Connection Attempt Analysis","Mikiri through reading the opponent before commitment; tsukuri by preparing the right line of attack","Mikiri; choosing the right distance and timing before entry","Reading the partner's structure before applying the technique","proposal"
"Filtered Log Trace","yomi","Isolate one hostile signal from noisy system logs.","1. Start live monitoring with tail -f on syslog or journal output. 2. Observe one raw connection event. 3. Add grep filtering by source IP, port, or keyword. 4. Repeat the hostile action. 5. Confirm that only the relevant trace remains visible.","D3FEND D3-CAA Connection Attempt Analysis; D3FEND D3-ANAA Administrative Network Activity Analysis","Kuzushi through information control; preparing correct reaction","Mikiri and sen-no-sen through early recognition","Situational reading before response","proposal"
"TTY Capture","go no sen","Locate the active remote terminal session and identify the corresponding local process.","1. Wait for uke to open a remote session. 2. Run w to identify the active TTY. 3. Run ps -fat to map the TTY to a PID. 4. State which process controls the session. 5. Verify by observing session behavior.","D3FEND D3-RTSD Remote Terminal Session Detection; D3FEND D3-PT Process Termination","Go no sen: answer after the opponent has committed","Responsive timing after the attack has become visible","Receiving then identifying the line of attack before countering","proposal"
"Remote Session Cut","kake","Terminate an unauthorized remote session cleanly and decisively.","1. Detect the incoming session. 2. Identify the responsible PID with w and ps. 3. Kill the correct process. 4. Confirm the remote disconnect. 5. Reset the system for the next repetition.","D3FEND D3-PT Process Termination; D3FEND D3-RTSD Remote Terminal Session Detection","Kake as completion after preparation and kuzushi","Decisive finishing after correct timing","Completion of a counter-control sequence","accepted"
"Connection Break","kaeshi","Interrupt a live network connection and reverse initiative.","1. Observe the active session with ss or watch ss. 2. Identify the destination port in use. 3. Run tcpkill on the active port. 4. Wait for uke to lose the session. 5. Use the opening to reconnect or reconfigure.","D3FEND D3-ANAA Administrative Network Activity Analysis; D3FEND D3-PT Process Termination","Kaeshi through immediate reversal after receiving pressure","Countering after the opponent extends into range","Reversal of the attacker's commitment","testing"
"Service Shuffle","kuzushi","Break the attacker's assumptions by changing the visible service posture without losing controlled access.","1. Expose one known service. 2. Let uke discover and begin to target it. 3. Change or redirect the exposed port. 4. Restart the service or apply redirection. 5. Force uke to re-read the environment.","ATT&CK T1046 Network Service Discovery; D3FEND D3-ANAA Administrative Network Activity Analysis","Kuzushi by breaking posture and expectation","Breaking structure before the decisive action","Destroying the partner's prepared line before execution","accepted"
"Dummy Listener","kyojitsu","Create a convincing but limited lure that forces the partner to verify instead of assuming.","1. Start a netcat listener on a chosen port. 2. Let uke discover the open port. 3. Let uke connect with a client. 4. Return limited or ambiguous data. 5. Debrief what evidence was real and what remained uncertain.","ATT&CK T1046 Network Service Discovery; CAPEC-624 Fake Services","Use of invitation and false opening to manipulate reaction","Kyojitsu style guarded and unguarded contrast","Using an apparent opening to draw commitment","accepted"
"Credential Rhythm","tsukuri","Build a controlled sequence of repeated access attempts across discovered services.","1. Discover the target services. 2. Choose one known credential pair. 3. Attempt access over ssh, telnet, or ftp in sequence. 4. Observe which service accepts the entry. 5. Stop once one foothold is established.","ATT&CK T1110.004 Credential Stuffing; ATT&CK T1046 Network Service Discovery","Tsukuri by constructing opportunity across repeated entries","Building the right conditions before the decisive technique","Progressive setup across multiple lines of attack","proposal"
"Lateral Pivot","kaeshi","Use one host as an intermediate point to access a second host and alter attribution.","1. Access uke1 through a remote session. 2. From uke1, open a second session to uke2. 3. Observe that uke2 sees uke1 as the source. 4. Maintain control long enough to demonstrate the pivot. 5. Disconnect and debrief the path.","ATT&CK T1563.001 Remote Service Session Hijacking; ATT&CK T1021 Remote Services","Transition from first grip to second advantage","Changing angle and line after initial entry","Flowing from one engagement to another","testing"
"Port Guessing Drill","sen no sen","Identify the target service by recognizing the attack pattern during the earliest connection attempts.","1. Uke scans or probes ports one by one. 2. Tori watches live logs or socket state. 3. Tori calls out the likely target port before the final connection succeeds. 4. Confirm the guess. 5. Repeat with different ports.","D3FEND D3-CAA Connection Attempt Analysis; D3FEND D3-ANAA Administrative Network Activity Analysis","Initiative through reading the opponent's preparation","Sen-no-sen through intercepting intention","Reading intent before full commitment","accepted"
"Session Shoulder Surfing","yomi","Observe commands executed inside an active session without taking it over.","1. Detect the remote session. 2. Identify the controlling PID. 3. Use peekfd or equivalent observation tooling. 4. Watch stdin, stdout, and stderr. 5. Report the activity without disrupting it.","D3FEND D3-RTSD Remote Terminal Session Detection; D3FEND D3-ANAA Administrative Network Activity Analysis","Observation before action; keeping balance without overcommitting","Mikiri through detailed reading of movement","Studying intent through the partner's action stream","accepted"
"Local Session Removal","kaeshi","Gain access to uke's host and remove uke's local foothold as a decisive counter.","1. Establish a remote session to uke. 2. Run w to locate the local TTY without a remote IP. 3. Run ps -fat to identify the local controlling PID. 4. Kill the local session process. 5. Confirm that uke is ejected from the host.","ATT&CK T1059 Command and Scripting Interpreter; D3FEND D3-PT Process Termination","Kaeshi and kake after entering past the guard","Decisive finish after gaining superior position","Completion of control once access is secured","testing"
"History Recall","tsune","Recover and reuse recent command knowledge quickly under time pressure.","1. Start from a shell with prior activity. 2. Use Ctrl+r, !!, !N, or !-N to recall commands. 3. Re-execute the correct prior command. 4. State why the recalled sequence was chosen. 5. Repeat until recall becomes automatic.","ATT&CK T1059 Command and Scripting Interpreter","Tsune as habit and constant practice","Repetition until action becomes natural","Embedding technical habit through repeated form","proposal"
"File Read Verification","yomi","Confirm the content of a target file with the simplest correct command.","1. Receive a path from sensei or uke. 2. Read the file with cat, less, or more. 3. Identify the expected keyword or configuration value. 4. State the relevant finding aloud. 5. Close the reading tool cleanly.","ATT&CK T1005 Data from Local System; T1059 Command and Scripting Interpreter","Correct reading before action","No wasted movement; direct path to the information","Situational confirmation before execution","proposal"
"Config Change Entry","tsukuri","Modify one service configuration to create a new controlled opening.","1. Identify the current service configuration file. 2. Read the existing port setting. 3. Change the port with sed or a controlled editor. 4. Restart the service. 5. Verify the new port with ss or nmap.","ATT&CK T1562 Impair Defenses; ATT&CK T1574 Hijack Execution Flow; D3FEND D3-ANAA Administrative Network Activity Analysis","Tsukuri by building the future state before use","Preparation and positioning before attack or defense","Constructing the condition that makes the next move possible","testing"
"Reverse Shell Listener","kake","Prepare and complete a reverse shell exchange when uke calls back to tori.","1. Start a listening socket on tori. 2. Have uke launch a reverse shell toward the listener. 3. Confirm that the callback arrives. 4. Execute one verification command. 5. Close the shell cleanly.","ATT&CK T1059 Command and Scripting Interpreter; ATT&CK T1105 Ingress Tool Transfer","Kake as committed completion after setup","Finishing the technique once the opening exists","Full execution after the opening has been created","proposal"
"Multi-Port Pressure","sen sen no sen","Overwhelm the partner's certainty by applying simultaneous or rapid-sequence pressure across several candidate ports.","1. Discover the partner's service surface. 2. Open or attempt multiple connections in quick succession. 3. Observe which line forces defensive reaction first. 4. Shift to the most vulnerable port. 5. Confirm whether the pressure changed uke's configuration or timing.","ATT&CK T1046 Network Service Discovery; ATT&CK T1021 Remote Services","Superior initiative by acting before the opponent settles","Taking initiative before the opponent's structure is complete","Forcing reaction through early pressure","proposal"
"Minimal Scan","seiryoku zenyo","Obtain just enough information with the smallest necessary command footprint.","1. Select the narrowest useful nmap or ss scope. 2. Run the scan against one host or one service range only. 3. Record the minimum sufficient information. 4. Stop once the objective is reached. 5. Explain why broader action was unnecessary.","ATT&CK T1046 Network Service Discovery","Maximum efficiency with minimum effort","Economy of motion and commitment","Using only the force necessary for the effect","proposal"
"Prompt Readiness","sen no sen","Intercept the opponent's first move by starting from a prepared shell state instead of reacting after delay.","1. Prepare the shell with the needed command partly typed or mentally rehearsed. 2. Wait for uke's signal or first visible action. 3. Complete and launch the defensive or investigative command immediately. 4. Compare the response time with an unprepared repetition. 5. Debrief what preparation reduced delay.","D3FEND D3-CAA Connection Attempt Analysis; D3FEND D3-RTSD Remote Terminal Session Detection","Initiative begins in preparation before contact","Acting at the instant the attack appears","Pre-contact readiness before the partner completes the attack","proposal"
"First Packet Naming","sen no sen","Name the nature of an attack from its first visible packet or first log line before the session stabilizes.","1. Start tail -f on syslog or watch -n2 ss -tnp. 2. Have uke begin one attack pattern such as ssh, telnet, or scan. 3. Call out the likely protocol or intent from the earliest visible trace. 4. Confirm the guess after the connection develops. 5. Repeat until the naming becomes immediate.","D3FEND D3-CAA Connection Attempt Analysis; D3FEND D3-ANAA Administrative Network Activity Analysis","Reading the opponent at the moment of engagement","Interception through early perception","Identifying the attack as it starts rather than after it lands","proposal"
"Preemptive Filter Set","sen no sen","Prepare the correct log filter before the next attack so the hostile action is isolated at the moment it begins.","1. Observe one sample hostile action. 2. Build a grep filter from the source IP, port, or service trace. 3. Arm the filtered monitor before the next repetition. 4. Have uke repeat the same attack. 5. Confirm that the event is visible immediately with no extra search.","D3FEND D3-CAA Connection Attempt Analysis; D3FEND D3-ANAA Administrative Network Activity Analysis","Preparation and timing joined into one motion","Setting the line before the attack enters","Establishing the receiving structure before contact","proposal"
"Preemptive Port Lock","sen no sen","Deny the exact line of entry just before uke completes the intended connection.","1. Let uke reveal the intended target service through probing. 2. Read the likely destination port from logs or socket state. 3. Change, drop, or redirect that entry point before the final access attempt. 4. Observe the failed connection. 5. Reset and repeat with a different service.","ATT&CK T1046 Network Service Discovery; D3FEND D3-ANAA Administrative Network Activity Analysis; D3FEND D3-PT Process Termination","Breaking the entry at the moment it forms","Acting on the threshold of contact","Closing the opening as the partner commits to it","proposal"
"Intercepted Reconnect","sen no sen","Catch the opponent's predictable reconnection attempt and cut it at the moment it restarts.","1. Force uke's session to drop once. 2. Predict that uke will reconnect using the same service. 3. Watch the port and session state. 4. The moment the reconnection begins, terminate it again with the prepared command. 5. Confirm whether the second interruption was faster than the first.","D3FEND D3-RTSD Remote Terminal Session Detection; D3FEND D3-PT Process Termination","Responding at the moment the renewed attack begins","Countering the second entry before it settles","Meeting the repeated attack on its restart","proposal"
"Early TTY Call","sen no sen","Identify the correct remote TTY before uke has time to establish a stable working session.","1. Start from an empty local state. 2. Have uke open a remote session and wait briefly before typing commands. 3. Run w immediately and call out the incoming TTY. 4. Confirm by having uke continue the session. 5. Repeat until the TTY is identified before meaningful activity begins.","D3FEND D3-RTSD Remote Terminal Session Detection","Reading the line of action as it enters","Recognizing the attack before it develops depth","Immediate identification before the partner settles into control","proposal"
